Start_date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/28/2020,  1/3/2021,G.L.A.,27,15,80,88,44,100,13,8,62.5,85.7,8.3,-91.4,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,TOTAL,196,183,7.1,818,798,2.51,81,85,-4.71,20.9,2.53,-80.2,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Transit,2,5,-60,9,22,-59.1,0,2,-100,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Housing,4,4,0,11,10,10,2,1,100,0,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Petit Larceny,221,201,10,940,868,8.3,61,73,-16.4,-14.1,29.8,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Misd. Assault,69,117,-41,246,327,-24.8,27,53,-49.1,-3.6,-43.8,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Misd. Sex Crimes,5,4,25,16,21,-23.8,4,2,100,-20,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Shooting Vic.,10,10,0,25,34,-26.5,2,5,-60,100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Shooting Inc.,4,0,***.*,5,3,66.7,4,0,***.*,***.*,***.*,0,28,53,Bill de Blasio,Dermot Shea,Queens North
  12/28/2020,  1/3/2021,Murder,0,0,***.*,1,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Rape,1,1,0,12,8,50,0,0,***.*,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Robbery,23,24,-4.2,111,105,5.7,9,6,50,50,-10,-86.8,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Fel. Assault,30,37,-18.9,93,116,-19.8,12,12,0,-14.3,-7.7,-65.7,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Burglary,49,24,104.2,204,107,90.7,17,8,112.5,13.3,88.9,-72.6,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Gr. Larceny,123,207,-40.6,494,911,-45.8,35,73,-52.1,-52.1,-50.7,-83.2,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,G.L.A.,8,5,60,34,18,88.9,3,2,50,200,200,-94.5,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,TOTAL,234,298,-21.48,949,"1,265",-24.98,76,101,-24.75,-30.28,-26.92,-82.33,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Transit,13,16,-18.8,35,68,-48.5,4,3,33.3,-50,-33.3,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Housing,8,14,-42.9,58,37,56.8,1,4,-75,-50,0,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Petit Larceny,237,291,-18.6,942,"1,233",-23.6,74,84,-11.9,-45.6,-26.7,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Misd. Assault,61,98,-37.8,217,331,-34.4,16,44,-63.6,-62.8,-62.8,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Misd. Sex Crimes,1,1,0,13,11,18.2,0,0,***.*,-100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Shooting Vic.,4,11,-63.6,35,54,-35.2,2,7,-71.4,-75,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Shooting Inc.,0,0,***.*,3,0,***.*,0,0,***.*,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,Manhattan South
  12/28/2020,  1/3/2021,Murder,0,2,-100,2,3,-33.3,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Rape,3,4,-25,12,13,-7.7,2,2,0,0,0,-77.8,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Robbery,28,33,-15.2,140,141,-0.7,5,12,-58.3,-64.3,-70.6,-91.8,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Fel. Assault,44,40,10,162,177,-8.5,24,20,20,33.3,33.3,-61.9,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Burglary,31,28,10.7,137,128,7,8,10,-20,-33.3,60,-87.3,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Gr. Larceny,65,105,-38.1,315,456,-30.9,15,48,-68.8,-60.5,15.4,-76.2,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,G.L.A.,13,8,62.5,61,25,144,6,2,200,500,100,-92.5,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,TOTAL,184,220,-16.36,829,943,-12.09,60,95,-36.84,-30.23,1.69,-82.46,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Transit,5,6,-16.7,20,27,-25.9,2,5,-60,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Housing,18,19,-5.3,78,78,0,9,6,50,28.6,12.5,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Petit Larceny,186,213,-12.7,888,"1,013",-12.3,58,71,-18.3,-30.1,9.4,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Misd. Assault,74,83,-10.8,250,339,-26.3,34,40,-15,-37,-26.1,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Misd. Sex Crimes,6,6,0,20,20,0,2,3,-33.3,-33.3,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Shooting Vic.,5,8,-37.5,24,35,-31.4,2,1,100,-66.7,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Shooting Inc.,2,4,-50,15,8,87.5,0,2,-100,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,Manhattan North
  12/28/2020,  1/3/2021,Murder,4,1,300,7,5,40,1,1,0,***.*,***.*,-83.3,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Rape,3,4,-25,25,22,13.6,1,2,-50,-75,-50,-83.3,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Robbery,76,84,-9.5,294,253,16.2,34,36,-5.6,41.7,30.8,-72.6,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Fel. Assault,98,96,2.1,416,361,15.2,46,48,-4.2,-20.7,58.6,-47.7,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Burglary,48,46,4.3,186,163,14.1,14,19,-26.3,-12.5,-36.4,-88,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Gr. Larceny,97,118,-17.8,439,480,-8.5,24,44,-45.5,-44.2,100,-40,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,G.L.A.,33,31,6.5,180,121,48.8,12,7,71.4,-7.7,100,-90.3,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,TOTAL,359,380,-5.53,"1,547","1,405",10.11,132,157,-15.92,-16.46,36.08,-73.86,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Transit,4,10,-60,17,38,-55.3,0,3,-100,-100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Housing,18,27,-33.3,84,103,-18.4,9,12,-25,-35.7,0,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Petit Larceny,249,312,-20.2,974,"1,316",-26,42,103,-59.2,-64.7,-30,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Misd. Assault,171,176,-2.8,676,784,-13.8,66,84,-21.4,-33.3,-17.5,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Misd. Sex Crimes,4,7,-42.9,34,34,0,2,4,-50,-66.7,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Shooting Vic.,11,12,-8.3,41,50,-18,7,7,0,-30,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Shooting Inc.,11,2,450,33,12,175,6,2,200,200,100,-33.3,28,53,Bill de Blasio,Dermot Shea,Bronx
  12/28/2020,  1/3/2021,Murder,1,0,***.*,7,3,133.3,0,0,***.*,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Rape,4,4,0,14,10,40,3,3,0,200,200,0,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
  12/28/2020,  1/3/2021,Robbery,40,36,11.1,138,147,-6.1,15,13,15.4,36.4,-31.8,-86.5,28,53,Bill de Blasio,Dermot Shea,Brooklyn South
