Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
-20.17,"1,009","1,026",-1.66,"14,305","14,511",-1.42,-2.53,-11.82,-73.71,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
75,32,12,166.7,501,245,104.5,115,0.6,-72.8,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
-25,19,21,-9.52,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
25,20,20,0,3,1,200,50,50,50,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
25,46,35,31.43,4,3,33.33,33.33,-20,-85.71,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
-100,13,24,-45.8,0,4,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,120th Precinct
-16.7,22,24,-8.3,0,2,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,120th Precinct
-13.33,59,65,-9.23,2,6,-66.67,-66.67,-84.62,-96,28,53,Bill de Blasio,Dermot Shea,120th Precinct
75,22,11,100,6,3,100,200,100,-45.5,28,53,Bill de Blasio,Dermot Shea,115th Precinct
-100,6,10,-40,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,115th Precinct
-27.3,39,41,-4.9,3,4,-25,-25,-50,-57.1,28,53,Bill de Blasio,Dermot Shea,115th Precinct
0,16,13,23.1,2,3,-33.3,0,0,-80,28,53,Bill de Blasio,Dermot Shea,115th Precinct
3.23,116,109,6.42,17,17,0,54.55,-15,-69.09,28,53,Bill de Blasio,Dermot Shea,115th Precinct
-57.1,29,16,81.3,0,2,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,114th Precinct
-21.1,54,74,-27,7,8,-12.5,40,40,133.3,28,53,Bill de Blasio,Dermot Shea,114th Precinct
15.38,141,152,-7.24,21,15,40,75,61.54,-70.42,28,53,Bill de Blasio,Dermot Shea,114th Precinct
-54.5,25,36,-30.6,3,4,-25,0,50,-62.5,28,53,Bill de Blasio,Dermot Shea,113th Precinct
150,11,13,-15.4,3,1,200,200,50,-50,28,53,Bill de Blasio,Dermot Shea,113th Precinct
-50,24,30,-20,0,4,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,113th Precinct
-33.3,16,13,23.1,2,4,-50,0,-33.3,-88.9,28,53,Bill de Blasio,Dermot Shea,113th Precinct
-10.71,93,108,-13.89,12,14,-14.29,-7.69,0,-77.36,28,53,Bill de Blasio,Dermot Shea,113th Precinct
300,32,11,190.9,2,1,100,100,-33.3,0,28,53,Bill de Blasio,Dermot Shea,111th Precinct
0,9,3,200,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,111th Precinct
-50,61,52,17.31,2,7,-71.43,0,-81.82,-93.94,28,53,Bill de Blasio,Dermot Shea,111th Precinct
-50,15,21,-28.6,1,1,0,0,0,-92.9,28,53,Bill de Blasio,Dermot Shea,110th Precinct
-44.4,28,25,12,3,6,-50,50,200,-25,28,53,Bill de Blasio,Dermot Shea,110th Precinct
50,13,15,-13.3,1,1,0,-75,-66.7,-92.9,28,53,Bill de Blasio,Dermot Shea,110th Precinct
16.7,46,54,-14.8,2,4,-50,-60,-50,-80,28,53,Bill de Blasio,Dermot Shea,110th Precinct
-50,7,10,-30,1,2,-50,0,-50,-94.7,28,53,Bill de Blasio,Dermot Shea,110th Precinct
-6.9,114,126,-9.52,9,14,-35.71,-30.77,-18.18,-85.48,28,53,Bill de Blasio,Dermot Shea,110th Precinct
200,18,12,50,1,1,0,-50,0,-66.7,28,53,Bill de Blasio,Dermot Shea,109th Precinct
233.3,44,28,57.1,4,1,300,100,300,-81.8,28,53,Bill de Blasio,Dermot Shea,109th Precinct
-35.7,47,65,-27.7,1,3,-66.7,-80,-50,-66.7,28,53,Bill de Blasio,Dermot Shea,109th Precinct
20,141,128,10.16,8,8,0,-20,14.29,-85.96,28,53,Bill de Blasio,Dermot Shea,109th Precinct
-57.1,16,24,-33.3,0,4,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,107th Precinct
0,5,10,-50,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,107th Precinct
-71.4,19,20,-5,0,2,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,107th Precinct
-77.8,21,46,-54.3,0,5,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,107th Precinct
